tid, date, Score, E2E, E2D, Title, Url 
2,2016-01-21,0.85926,0.85926,1.00000,Airbus Subsidiary Opens Metal 3D Printing Facility - 3D Printing Industry,http://3dprintingindustry.com/2016/01/20/airbus-subsidiary-opens-metal-3d-printing-operation/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
23,2016-01-19,0.85274,0.85274,0.21315,3ders.org - Open source, solar-powered RepRap 3D printer brings 3D printing to developing communities | 3D Printer News & 3D Printing News,http://www.3ders.org/articles/20160118-open-source-solar-powered-reprap-3d-printer-brings-3d-printing-to-developing-communities.html
33,2016-01-16,0.84112,0.84112,0.16195,Why 3D Printing Will Be a Key Technology in the Next Space Race - Singularity HUB,http://singularityhub.com/2016/01/08/why-3d-printing-will-be-a-key-technology-in-the-next-space-race/#.VplHpVq_JDo.twitter
41,2016-01-14,0.78338,0.78338,0.03142,A 3D-Printing Roving Robot Could Repair Potholes | Popular Science,http://www.popsci.com/3d-printing-robot-could-repair-potholes?src=SOC&dom=tw
53,2016-01-13,0.83922,0.83922,0.03210,Sketchfab Adds VR to 3D Model Browsing - 3D Printing Industry,http://3dprintingindustry.com/2016/01/12/sketchfab-adds-vr-to-3d-model-browsing/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
71,2016-01-12,0.87194,0.87194,0.27413,3ders.org - 3D Systems shows off SLAbot-1 3D printing robotic arm at CES 2016 | 3D Printer News & 3D Printing News,http://www.3ders.org/articles/20160111-3d-systems-shows-off-slabot-1-3d-printing-robotic-arm-at-ces-2016.html
675,2016-01-11,0.92345,0.92345,0.15459,Making Money With 3D Printing: The List - Mylocal3DPrinting,https://mylocal3dprinting.com/blog/making-money-with-3d-printing-the-list/
2130,2016-01-10,0.90960,0.90960,0.13190,3D Printing for Business: Improving Your Company - Mylocal3DPrinting,https://mylocal3dprinting.com/blog/3d-printing-business-improving-company/
3991,2016-01-09,0.98805,0.98805,0.10805,The Influence Of Education On The 3D Printing Industry | TechCrunch,http://techcrunch.com/2015/11/14/the-influence-of-education-on-the-3d-printing-industry/
5623,2016-01-08,0.92690,0.92690,0.09052,Processes Archive - Ogle,http://www.oglemodels.com/processes/
