tid, date, Score, E2E, E2D, Title, Url 
2,2016-01-21,0.96482,0.85926,1.00000,Airbus Subsidiary Opens Metal 3D Printing Facility - 3D Printing Industry,http://3dprintingindustry.com/2016/01/20/airbus-subsidiary-opens-metal-3d-printing-operation/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
33,2016-01-16,0.33174,0.84112,0.16195,Why 3D Printing Will Be a Key Technology in the Next Space Race - Singularity HUB,http://singularityhub.com/2016/01/08/why-3d-printing-will-be-a-key-technology-in-the-next-space-race/#.VplHpVq_JDo.twitter
280,2016-01-12,0.42514,0.87819,0.27413,What’s the Future for 3D Printing in Manufacturing?,http://www.gilcommunity.com/discussion/whats-future-3d-printing-manufacturing/
14108,2016-01-07,0.33306,0.96267,0.12319,Unleashing 3D Printing with HP - HP Communities,http://h20435.www2.hp.com/t5/The-Shapes-of-Things-To-Come-The/Unleashing-3D-Printing-with-HP/ba-p/294590#.VoFVZ_krLIU
23005,2016-01-02,0.28390,0.95041,0.06174,5 signs you should invest in 3D printing technologies,http://blog.luxexcel.com/5-signs-you-should-invest-in-3d-printing?utm_content=23960669&utm_medium=social&utm_source=twitter
31572,2015-12-29,0.29876,0.95397,0.08036,3D Printers Capable of Making Electronics in the next Decade,http://www.3dtectonix.com/3D-Printers-Capable-of-Making-Electronics
34752,2015-12-25,0.26996,0.88484,0.06500,3ders.org - Gartner places 3D printing among the top 10 strategic technology trends for 2016 | 3D Printer News & 3D Printing News,http://www.3ders.org/articles/20151224-gartner-places-3d-printing-among-the-top-ten-strategic-technology-trends-for-2016.html
40943,2015-12-21,0.30962,0.88784,0.11688,Cutting Edge 3D Printing Technologies for Hardware Startups ,http://www.berkeleysg.com/2015/12/cutting-edge-3d-printing-technologies-and-the-new-abilities-they-give-you/
45397,2015-12-17,0.27637,0.92702,0.05949,2016 Oil and Gas Industry Predictions - IFS Blog,http://blog.ifsworld.com/2015/12/2016-oil-and-gas-industry-predictions/
57041,2015-12-10,0.29268,0.95673,0.07133,Machine vision: rapid growth and 3D printed optics,http://blog.luxexcel.com/machine-vision-rapid-growth-and-3d-printed-optics?utm_content=25202408&utm_medium=social&utm_source=twitter
65671,2015-12-04,0.26535,0.91079,0.05020,3D Printing world from rainy Seattle.,http://go3dprinting.tumblr.com/post/134481132052/eprargentero-stratigraphic-manufactury-3d#_=_
72856,2015-11-30,0.28260,0.93670,0.06457,The benefits of 3D print manufacturing,http://blog.luxexcel.com/3d-print-manufacturing-benefits?utm_content=21841251&utm_medium=social&utm_source=twitter
79129,2015-11-26,0.27729,0.91887,0.06343,Art + Math = Science: Additive + Subtractive Manufacturing = BOBW - Autodesk Community,http://forums.autodesk.com/t5/advanced-manufacturing/art-math-science-additive-subtractive-manufacturing-bobw/ba-p/5923318
88964,2015-11-19,0.26290,0.89775,0.05128,Just Manufacturing News / 3D Printing for Everyone: 4 Places to Help You 3D Print Today,http://www.justmanufacturingnews.com/3d-printing-for-everyone-4-places-to-help-you-3d-print-today/
95877,2015-11-15,0.39186,1.00000,0.18914,3D Printing At The Middle School Level,http://www.ripardo.com/blog/3d-printing-at-the-middle-school-level
106329,2015-11-09,0.26420,0.94890,0.03597,Freeform optics and 3D printing?,http://blog.luxexcel.com/freeform-optics
116056,2015-11-04,0.28497,0.96262,0.05909,3D Is Not Just For The Movies - Field Service In 3D,http://www.servicepower.com/blog/3d-is-not-just-for-the-movies
125659,2015-10-29,0.27744,0.93920,0.05686,What 3D printing will bring to global events,http://www.cievents.com/what-3d-printing-will-bring-to-global-events/
132703,2015-10-25,0.25674,0.88498,0.04733,From Paper to Plastic: How 3D Printing Can Change the Global Supply Chain,http://news.elementum.com/from-paper-to-plastic-how-3d-printing-can-change-the-global-supply-chain
