Date	Title	Position
2015-10-22	 	0
2015-10-23	 	0
2015-10-24	 	0
2015-10-25	From Paper to Plastic: How 3D Printing Can Change the Global Supply Chain	1
2015-10-26	 	0
2015-10-27	 	0
2015-10-28	 	0
2015-10-29	 	0
2015-10-30	 	0
2015-10-31	 	0
2015-11-01	 	0
2015-11-02	 	0
2015-11-03	 	0
2015-11-04	3D Is Not Just For The Movies - Field Service In 3D	2
2015-11-05	 	0
2015-11-06	 	0
2015-11-07	 	0
2015-11-08	 	0
2015-11-09	 	0
2015-11-10	 	0
2015-11-11	 	0
2015-11-12	 	0
2015-11-13	 	0
2015-11-14	 	0
2015-11-15	3D Printing At The Middle School Level	1
2015-11-16	 	0
2015-11-17	 	0
2015-11-18	 	0
2015-11-19	 	0
2015-11-20	 	0
2015-11-21	 	0
2015-11-22	 	0
2015-11-23	 	0
2015-11-24	 	0
2015-11-25	 	0
2015-11-26	 	0
2015-11-27	 	0
2015-11-28	 	0
2015-11-29	 	0
2015-11-30	The benefits of 3D print manufacturing	2
2015-12-01	 	0
2015-12-02	 	0
2015-12-03	 	0
2015-12-04	 	0
2015-12-05	 	0
2015-12-06	 	0
2015-12-07	 	0
2015-12-08	 	0
2015-12-09	 	0
2015-12-10	Machine vision: rapid growth and 3D printed optics	1
2015-12-11	 	0
2015-12-12	 	0
2015-12-13	 	0
2015-12-14	 	0
2015-12-15	 	0
2015-12-16	 	0
2015-12-17	 	0
2015-12-18	 	0
2015-12-19	 	0
2015-12-20	 	0
2015-12-21	Cutting Edge 3D Printing Technologies for Hardware Startups 	2
2015-12-22	 	0
2015-12-23	 	0
2015-12-24	 	0
2015-12-25	 	0
2015-12-26	 	0
2015-12-27	 	0
2015-12-28	 	0
2015-12-29	3D Printers Capable of Making Electronics in the next Decade	1
2015-12-30	 	0
2015-12-31	 	0
2016-01-01	 	0
2016-01-02	 	0
2016-01-03	 	0
2016-01-04	 	0
2016-01-05	 	0
2016-01-06	 	0
2016-01-07	 	0
2016-01-08	 	0
2016-01-09	 	0
2016-01-10	 	0
2016-01-11	 	0
2016-01-12	What’s the Future for 3D Printing in Manufacturing?	2
2016-01-13	 	0
2016-01-14	 	0
2016-01-15	 	0
2016-01-16	 	0
2016-01-17	 	0
2016-01-18	 	0
2016-01-19	 	0
2016-01-20	 	0
